Uuid,Void/Retire,Mappings|SAME-AS|OpenBoxes,Name,Concept Drug,Concept Dosage Form,Ingredient 1,Ingredient 1 Strength,Ingredient 1 Units,Ingredient 2,Ingredient 2 Strength,Ingredient 2 Units,Ingredient 3,Ingredient 3 Strength,Ingredient 3 Units,Ingredient 4,Ingredient 4 Strength,Ingredient 4 Units
2033cc3e-179e-41ab-b8e4-3de9fcc5b6c9,,11627,"Acetazolamide, 250mg tablet",CIEL:70125,Tablet,CIEL:70125,250,Milligram,,,,,,,,,
ec08318d-5255-467e-847c-738eff37b3d5,,10629,"Acetylcysteine, Solution for injection, 200mg/mL, 10mL ampoule",CIEL:70148,Ampoule(s),CIEL:70148,,,,,,,,,,,
8d5941e8-5f86-4289-a6ba-122320814bd5,TRUE,10194,"Acetylsalicylic acid, 100mg tablet",CIEL:71617,Tablet,CIEL:71617,100,Milligram,,,,,,,,,
0962492b-295e-4f61-8d7b-717a61f43997,,11059,"Aciclovir, 200mg tablet",CIEL:70245,Tablet,CIEL:70245,200,Milligram,,,,,,,,,
f1403640-6911-4758-bbdb-183329c65708,TRUE,10333,"Aciclovir, Eye ointment, 3%, 4.5 gram tube",CIEL:70245,Tube,CIEL:70245,,,,,,,,,,,
a7da6ae3-8038-47ad-962b-1a6eedc0c76c,,11429,"Adenosine, Solution for injection, 3mg/mL, 2mL ampoule",CIEL:70272,Ampoule(s),CIEL:70272,,,,,,,,,,,
0b1cc49f-60cc-4370-8bad-1557e7bd333d,,11804,"Adrenaline, Solution for injection, 100 microgram/mL (1:10,000), 10mL prefilled syringe",CIEL:154365,Syringe,CIEL:154365,,,,,,,,,,,
d76a4455-bcf0-48b0-b34e-55e1c1b09d37,,11323,"Adrenaline, Solution for injection, 1mg/mL (1:1,000), 1mL ampoule",CIEL:154365,Ampoule(s),CIEL:154365,,,,,,,,,,,
af52a21e-0081-459e-8aeb-611330790985,,10369,"Albendazole, 200mg chewable tablet",CIEL:70439,Tablet,CIEL:70439,200,Milligram,,,,,,,,,
97069383-765b-4161-bbf7-4fac1922f63d,,10653,"Albendazole, Oral suspension, 40mg/mL, 10mL bottle",CIEL:70439,Bottle,CIEL:70439,,,,,,,,,,,
8112cd30-ae2a-11e4-ab27-0800200c9a66,,10625,"Albendazole, 400mg chewable tablet",CIEL:70439,Tablet,CIEL:70439,400,Milligram,,,,,,,,,
c6a8d8ae-fce4-11e9-8f0b-362b9e155667,,10057,"Allopurinol, 100mg tablet",CIEL:70878,Tablet,CIEL:70878,100,Milligram,,,,,,,,,
5815a762-e68a-42dc-aea9-57957260d44b,,11338,"Aminophylline, Solution for injection, 25mg/mL, 10mL ampoule",CIEL:71101,Ampoule(s),CIEL:71101,,,,,,,,,,,
880ec9f5-e105-4e05-a9cd-e342d590e5cc,,19225,"Amiodarone hydrochloride, 200mg tablet",CIEL:71118,Tablet,CIEL:71118,200,Milligram,,,,,,,,,
1f83d00b-2241-450f-b114-1897e4134cc6,,10320,"Amiodarone hydrochloride, Solution for injection, 50mg/mL, 3mL vial",CIEL:71118,Vial,CIEL:71118,,,,,,,,,,,
5edb194a-70bf-4fbf-b2ca-4dce586af7f3,,11109,"Amitriptyline hydrochloride, 25mg coated tablet",CIEL:931,Tablet,CIEL:931,25,Milligram,,,,,,,,,
